"Online
ISSN",Journal Title,,,"APC Amount
(USD $)"
1467-6281,Abacus,Hybrid,USD,2500
1553-2712,Academic Emergency Medicine,Hybrid,USD,3000
1467-629X,Accounting & Finance,Hybrid,USD,3000
1911-3838,Accounting Perspectives,Hybrid,USD,3000
1399-6576,Acta Anaesthesiologica Scandinavica,Hybrid,USD,3800
1600-0390,Acta Archaeologica,Hybrid,USD,3000
2053-2296,Acta Crystallograhica Section C: Crystal Structure Communications,Hybrid,USD,3000
2053-2733,Acta Crystallographica Section A: Foundations of Crystallography,Hybrid,USD,3000
2052-5206,Acta Crystallographica Section B: Structural Science,Hybrid,USD,3000
2059-7983,Acta Crystallographica Section D: Biological Crystallography,Hybrid,USD,3000
2053-230X,Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Hybrid,USD,3000
1755-6724,Acta Geologica Sinica (English Edition),Hybrid,USD,3400
1600-0404,Acta Neurologica Scandinavica,Hybrid,USD,3900
1600-0412,Acta Obstetricia et Gynecologica Scandinavica,Hybrid,USD,4000
1755-3768,Acta Ophthalmologica,Hybrid,USD,3000
1651-2227,Acta Paediatrica,Hybrid,USD,3000
1748-1716,Acta Physiologica,Hybrid,USD,3700
1600-0447,Acta Psychiatrica Scandinavica,Hybrid,USD,4200
1463-6395,Acta Zoologica,Hybrid,USD,3000
1360-0443,Addiction,Hybrid,USD,3200
1369-1600,Addiction Biology,Hybrid,USD,3000
2161-0029,Adultspan Journal,Hybrid,USD,3000
2366-7478,Advanced Biosystems,Hybrid,USD,3500
2199-160X,Advanced Electronic Materials ,Hybrid,USD,3500
1614-6840,Advanced Energy Materials,Hybrid,USD,5000
1527-2648,Advanced Engineering Materials,Hybrid,USD,3500
1616-3028,Advanced Functional Materials,Hybrid,USD,5000
2192-2659,Advanced Healthcare Materials,Hybrid,USD,3500
1521-4095,Advanced Materials,Hybrid,USD,5000
2196-7350,Advanced Materials Interfaces,Hybrid,USD,3500
2365-709X,Advanced Materials Technologies,Hybrid,USD,3500
2195-1071,Advanced Optical Materials (Electronic),Hybrid,USD,3500
2511-9044,Advanced Quantum Technologies,Hybrid,USD,3500
2366-7486,Advanced Sustainable Systems,Hybrid,USD,3500
1615-4169,Advanced Synthesis & Catalysis,Hybrid,USD,3000
2513-0390,Advanced Theory and Simulations,Hybrid,USD,3500
2366-3987,Advanced Therapeutics,Hybrid,USD,3500
2573-8461,Advances in Cell and Gene Therapy,Hybrid,USD,2700
1098-2329,Advances in Polymer Technology,Hybrid,USD,2500
2472-5390,AEM Education and Training,Hybrid,USD,3000
1467-8268,African Development Review,Hybrid,USD,3000
1365-2028,African Journal of Ecology,Hybrid,USD,2700
1098-2337,Aggressive Behavior,Hybrid,USD,2500
1520-6297,Agribusiness,Hybrid,USD,2500
1461-9563,Agricultural and Forest Entomology,Hybrid,USD,3000
1547-5905,AIChE Journal,Hybrid,USD,3750
1530-0277,Alcoholism: Clinical and Experimental Research,Hybrid,USD,3000
1365-2036,Alimentary Pharmacology & Therapeutics,Hybrid,USD,4300
1398-9995,Allergy,Hybrid,USD,4300
1548-1433,American Anthropologist,Hybrid,USD,3000
